date,nav,change_pct
2021-04-08,1.0,0.0
2021-04-09,1.0,0.0
2021-04-16,1.0001,0.0
2021-04-23,1.0098,0.0
2021-04-30,1.0275,0.0
2021-05-07,1.0004,0.0
2021-05-14,1.011,0.0
2021-05-21,1.0223,0.0
2021-05-28,1.0408,0.0
2021-06-04,1.0519,0.0
2021-06-09,1.0322,0.0
2021-06-10,1.0479,1.52
2021-06-11,1.0553,0.71
2021-06-15,1.0525,-0.27
2021-06-16,1.0199,-3.1
2021-06-17,1.0381,1.78
2021-06-18,1.0608,2.19
2021-06-21,1.0633,0.24
2021-06-22,1.0675,0.39
2021-06-23,1.0744,0.65
2021-06-24,1.0607,-1.28
2021-06-25,1.0759,1.43
2021-06-28,1.0946,1.74
2021-06-29,1.1025,0.72
2021-06-30,1.1244,1.99
2021-07-01,1.1173,-0.63
2021-07-02,1.1005,-1.5
2021-07-05,1.119,1.68
2021-07-06,1.1013,-1.58
2021-07-07,1.1422,3.71
2021-07-08,1.1596,1.52
2021-07-09,1.1578,-0.16
2021-07-12,1.2215,5.5
2021-07-13,1.21,-0.94
2021-07-14,1.1676,-3.5
2021-07-15,1.2017,2.92
2021-07-16,1.1508,-4.24
2021-07-19,1.1313,-1.69
2021-07-20,1.151,1.74
2021-07-21,1.208,4.95
2021-07-22,1.2158,0.65
2021-07-23,1.1932,-1.86
2021-07-26,1.1968,0.3
2021-07-27,1.1321,-5.41
2021-07-28,1.1338,0.15
2021-07-29,1.2214,7.73
2021-07-30,1.2316,0.84
2021-08-02,1.2422,0.86
2021-08-03,1.1762,-5.31
2021-08-04,1.2571,6.88
2021-08-05,1.2667,0.76
2021-08-06,1.2821,1.22
2021-08-09,1.244,-2.97
2021-08-10,1.2317,-0.99
2021-08-11,1.2338,0.17
2021-08-12,1.223,-0.88
2021-08-13,1.2059,-1.4
2021-08-16,1.1685,-3.1
2021-08-17,1.1539,-1.25
2021-08-18,1.1666,1.1
2021-08-19,1.2077,3.52
2021-08-20,1.2113,0.3
2021-08-23,1.255,3.61
2021-08-24,1.2891,2.72
2021-08-25,1.3088,1.53
2021-08-26,1.3058,-0.23
2021-08-27,1.3299,1.85
2021-08-30,1.3613,2.36
2021-08-31,1.3694,0.6
2021-09-01,1.3017,-4.94
2021-09-02,1.339,2.87
2021-09-03,1.282,-4.26
2021-09-06,1.2896,0.59
2021-09-07,1.331,3.21
2021-09-08,1.3112,-1.49
2021-09-09,1.3245,1.01
2021-09-10,1.3408,1.23
2021-09-13,1.3298,-0.82
2021-09-14,1.3584,2.15
2021-09-15,1.3734,1.1
2021-09-16,1.3139,-4.33
2021-09-17,1.3211,0.55
2021-09-22,1.3324,0.86
2021-09-23,1.3207,-0.88
2021-09-24,1.3218,0.08
2021-09-27,1.2931,-2.17
2021-09-28,1.2667,-2.04
2021-09-29,1.2341,-2.57
2021-09-30,1.2815,3.84
2021-10-08,1.2497,-2.48
2021-10-11,1.2419,-0.62
2021-10-12,1.2064,-2.86
2021-10-13,1.2538,3.93
2021-10-14,1.2693,1.24
2021-10-15,1.3044,2.77
2021-10-18,1.333,2.19
2021-10-19,1.3325,-0.04
2021-10-20,1.3588,1.97
2021-10-21,1.3441,-1.08
2021-10-22,1.3302,-1.03
2021-10-25,1.3691,2.92
2021-10-26,1.3636,-0.4
2021-10-27,1.3879,1.78
2021-10-28,1.358,-2.15
2021-10-29,1.3842,1.93
2021-11-01,1.3786,-0.4
2021-11-02,1.3864,0.57
2021-11-03,1.3507,-2.58
2021-11-04,1.3663,1.15
2021-11-05,1.3484,-1.31
2021-11-08,1.3943,3.4
2021-11-09,1.4082,1.0
2021-11-10,1.3961,-0.86
2021-11-11,1.3977,0.11
2021-11-12,1.4112,0.97
2021-11-15,1.3611,-3.55
2021-11-16,1.3299,-2.29
2021-11-17,1.3505,1.55
2021-11-18,1.351,0.04
2021-11-19,1.3699,1.4
2021-11-22,1.4063,2.66
2021-11-23,1.3798,-1.88
2021-11-24,1.3486,-2.26
2021-11-25,1.3297,-1.4
2021-11-26,1.3518,1.66
2021-11-29,1.3816,2.2
2021-11-30,1.3742,-0.54
2021-12-01,1.3598,-1.05
2021-12-02,1.3574,-0.18
2021-12-03,1.3647,0.54
2021-12-06,1.3392,-1.87
2021-12-07,1.3143,-1.86
2021-12-08,1.3455,2.37
2021-12-09,1.329,-1.23
